Film,Title,Published Date,Source,URL,Phase,Protest_Score,Institution_Score,Total_Score
Lipstick Under My Burkha,Why audience reaction to Lipstick Under My Burkha left me horrified - InUth,24-07-2017,InUth,https://news.google.com/rss/articles/CBMisAFBVV95cUxQM05ibDhIbk8xdnRQVmh5dDlYQ3lsUDJ2YW1qQkhmbkd6NlNQbk5MTUxHbnhkVTFyM3UyMWhVeWxDS09RR0dYaXZRc3Q2c2FNRjlUb3AtS04zcU5zaFZpblFaaC1vNm9sS2xka0oyWUgwclRUMEdtZlBsRldtSktEUXFIZ3g1WWJER0RkVDYxcnNfWmNkQVlNd010aVZESl9tQ2dnMU1nN1NNVTNMb0wwVtIBtwFBVV95cUxNLW9FQ0M4OEthdHFqMXBXVFNBVUNqQlBoeTRBWnpNTjdWUDNwMjNibVNfSVhPOXB5TF9xWGNzNVJITnAzOGt3cldwcnY5aVpRLTc0VE5zSjI1NUYtZWlHdjFqUWFWdkdhcVdlcDJ6YVVOY1ozQ2J2OWNNTVBkOTRZbkZadWtPWVZQVUYxTGNITHRPTThSSGNHeno4VVh2WUNyTkZESDdkYW03M2d1c2pTaEU1bXl2S28?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Lipstick Under My Burkha,Cuts to Controversies- 4 Bollywood films that challenged Censor Board: From 'Udta Punjab' to 'Lipstick Unde... - Bhaskar English,19-05-2025,Bhaskar English,https://news.google.com/rss/articles/CBMirAFBVV95cUxQUUVYZXowUWNDcUYwSmhfanowRTh4MFVPVGtqMElpdjZaSi03eUg1MFlBTVQtRERpSF8yOGZmTGZfYlR0UjJ5ajZDeVFzZjhfczE4SDVDanRnbEstX2h0Mm5oT1BBQ3ZHVjVXeTYyWGRCa2RMWUNNQ1pwMmRBeGV6MGdicEJPSWRIOGc2eWRxQm9PNHFOZ3FCbVNMX0RfdFZfY2dkVUVlbHFXMU5Q0gGyAUFVX3lxTE9UR1lKdXJTTVlfcVdZU3FZbl8xaXF4MlFMUDhNVnk4WUFWZG5iZ1hkUmJBRWxZOXZTZTZ3bURpaVJUWllVN05faHpyNXNEcTZ2WjdPOVhmOXlLeGo2VlNYZDczaWNYTUpWLVlxS3BHdDZQY2VBRk9LbXQzWWNJVHBxc0N2R3dxU2daRTZnM3FCamJqNWJoVHh0cEhJOXNmR2FCbnMwZlBZa010M29TYWRpUGc?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Lipstick Under My Burkha,A One-Dimensional View of Masculinity in Lipstick Under My Burkha - TheWire.in,04-08-2017,TheWire.in,https://news.google.com/rss/articles/CBMifkFVX3lxTE00N19aSWE3bm1pbWtrVWNsRXdVZzhVam9WQmtWUTBSRWJsZ3hzRE1NUjA1N0UwUV9YTXhsYmxNWkxWeTl4MEEyU053Qy00RHJ6bjhzTmtZMEdSNHVaN2RuRlI3VTZZemdQUnRhR2QtYXkzOVNQTEtwRmJGbk1kUdIBgwFBVV95cUxPZ2lhSUExOHdOR3RZS1R4WmxpbFFkT2pPd3N6VkVDclQ2TDRwRDExaEt5NkJPS3NBdF9fQVRlQUw5VjVfTUJ0UEhqNEJKQko5N25jQWp5V2lJeEZpMmw3dGFKdXFLQ2xPaXljd2hBWFRmZEtxMFZuODRJM0hMOGU0TVE1WQ?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Lipstick Under My Burkha,Lipstick Under My Burkha (India) - Golden Globes,16-12-2017,Golden Globes,https://news.google.com/rss/articles/CBMic0FVX3lxTE83TDZWMld0REtzeUgydm5sNDY5S1JBQmd2RkwtTVFmYlJHNGpBOWFMTElRYjFLXzJpLXh6Mll5NXhRWGs3NGpOWm9FQ0hxNmVaZENwalZVcjRJTnE2azYzWjBOdXk4enJzMk83MXU4bkRCVFU?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Lipstick Under My Burkha,"Muslim leaders call for boycott of Lipstick Under My Burkha, plan legal action | India News - Hindustan Times",26-02-2017,Hindustan Times,https://news.google.com/rss/articles/CBMi6AFBVV95cUxQNDY3aXRBWWRjc29ldFlaclZuUXlyUkEyd1NBcHB2TU1KZEV5MHdTUHNlRF9CX2M1T3pVejB2aG13Xzl6dC1QNkFCbFlhUjhfbHVublVWcXdISFkyRkFsR3RwUWxTaUxoZnFZZ1MwRmFsaHZNVUJRS1hjT1B3MWVFbmU2a1FtbkVscjBSUlhoUVV6c3ZMUEM4R2ZvdHVaQkhhdWZnbnRmaElydG5lVjFtQUNlVGJ4eDZIYmxzSnNCMkduLS1NeVRKTVFyRzdEUWlRY1lhelZ4OXpFNjhkUGI0dzllbEtkT2dQ0gHuAUFVX3lxTE9fdk5vZGpSVXpMRU9HbEVFNEtiUldMM2t5ZHJtX3lPdnl4MlFQdlZPaWQ2WXBrSzFCbFQtVC1yOTdCNGloekdQTWJ6M3FRYXZEckMyLThRbGx6dGNsTExVR0M2emROVUN1X1lIa3pIRno0OS1rYlVNY2k4b1lOTWg1VzkwMTZ6enJ2NlpfdHdBMlFqUzU2Z3BVczFSaW15ajdXYzNubGZacU1USUdVeldwUWV0bTRCS3RHQkNpbmJudXRveVRSVWYtR1JqZWw0bWRGdUk1ZEgzN1R0WGJwak9EMVJiVGRuYmhtNzNZYXc?oc=5&hl=en-US&gl=US&ceid=US:en,Pre,1,0,1
Lipstick Under My Burkha,Lipstick Under My Burkha review - The Hindu,20-07-2017,The Hindu,https://news.google.com/rss/articles/CBMingFBVV95cUxOdnBQeGtubmNJOW5wOHVfdXVVdGNkZ29WSGJyNzBkSEtuc1NiT0pOeXdPWXg1SlJ0bWVKSGVZaTNGYmJ6NUNoczVxdDdsR19oZFVCczh5TEtsN29OZ3ZGTnJVVmZiT08tZ3phaVRRMWpHa0NaYVh5R1VVcG9FWllncGtESG5haEg3WWtWSi10aU1KbUJfNEYxbzZlbGFQZ9IBpAFBVV95cUxOOUtCUnlRMFJyN2ZFd0h0Ni1EUGt5M1VheWRGNkVlc3Bha3JCZUw3Qnd3U1g5MFBMNE0zSzVvNlFhV0JfNmIzalRhTHVFT2RqbktZMF9fSmpORzFIUmE1OUNadmhsbThZRmRrN0JMa2x0QjR6N0FqYkNOcFJfcEN3bWl1SWVBUUVpV0NTUHFDZWRwTVN2bkttd3UzV0JOdUNRVklpUA?oc=5&hl=en-US&gl=US&ceid=US:en,Pre,0,0,0
Lipstick Under My Burkha,Lipstick Under My Burkha Is the Much-Needed Conversation India Refused to Have - TheWire.in,18-04-2017,TheWire.in,https://news.google.com/rss/articles/CBMic0FVX3lxTE9uUFBfbzBXeWNOWlFfQzU3Z3BKVmQ5V0RYcmFyR2lMTldDSHlHUjRYZU1MX0pPbjZfbi1FaTZ4aFpud0I2dGx5bnNmWVR2M1hpRzVpSjRFazNvZEs2ZFhQMjMxVFRsQkFpMGFWNVlYc3BLcU3SAXhBVV95cUxQUGZEcXlDeVZObGtpVDdEemZ2cVZTMkFoWENXVU8yZlRmME1HdGtQM1pLRDRCdWNfM21pdExkYlZiMWdqVUFMNnlpNnJQN1FEaGdVVTA2eVZKai0tWUVXeGZLOUxvTUw5OUhfb19DU1ZtOEhxMElkUGs?oc=5&hl=en-US&gl=US&ceid=US:en,Pre,0,0,0
Lipstick Under My Burkha,Lipstick Under My Burkha Plot Summary - Times of India,09-08-2017,Times of India,https://news.google.com/rss/articles/CBMinwFBVV95cUxPZ1Q0cWlhakdhemZPUzRmTWNvT0s2Q2JnVzJlQ25qcHVpaFNja0dCQnZnYVo4Ujk4WTB3NHlxQ3BLUlRCZFYzci1CSmNiNUJaTElvbDduVWU3V2hiUWZWQWpxWmtiX21FT1dvRFVLZjJmVE5xa29UV3dMYmlkTXg5dnB4VkdaVGpKNmpvQ0o1V2tNMnZFUVhxeUYzVTByT0XSAaQBQVVfeXFMUFJpQU9lNXVFMTMzYWFjVkpCdGo2RC1MT04tYUQyRmU2amlUYXNlYmY3T2RZS2xFN2NLTHN0YXJxNS1jQVlZRXZJdzVJUXpYMm0tdXNMSFg1dTF0ZGFHdVpPc1hYalhFeDFKemYyNG9UcXlSbTNCd2pBdnc4dm9td3dKMUVFQ2VWem1RdzFLMWNDVUowLUhVN2wzNTFCa0VLTzBUU0o?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Lipstick Under My Burkha,Censor Board refuses to certify 'Lipstick Under My Burkha' - The Hindu,23-02-2017,The Hindu,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOR1ZNUnNFei1rWXVlQ1pXQm93NWdIbTNMZlVaM2RZaUtjdF9QcTRpZi1US3RtN0xyYklZT0xKakRnTGQtMVZRRTcxNFBucFNETmVVQ0MtLUhwZjg5MFJOOGhJU0ZKSHlIbUNzQXNOMkY5Qm1XcWd0MG94TFo4Y0ZyRFhocFhZSXdnR0FPWGhNMjk1RHg2b2F2R3VGYWotVUpaZFU0dXVpSXBzRXBZLWtDaDJFekZfYUtYRzNtYzgwRlNVd0Y3OEIwN014WEVCMGdCT2xrYXJwONIB3gFBVV95cUxOSlRidGJGQXREVTN4eGx3ZGNNbVNQNlpKcDkyZnNxWVRTSEhLV3hPelc0Z1IwVmVmY2lQQzMzaVI0Z0c1cHp0YnRsRm5lMi1rV3BzaDFBVENLNXd6OWZiRzNVTHpfRC1kRHJMZWVZcjB6eTZBMHlYLVdudkhNRExUX3NvOEVmbUJmQkx4cXVoT3NtT3V0MkhBeWdTUThZeTdCQ2w5dVdyYVVoTWNDaTQyX1JXQTBIOThuR0gzV21QU2UzbU5TRXlzdzlkYVRRX3FTRExCOFpWeUo3S0dMV0E?oc=5&hl=en-US&gl=US&ceid=US:en,Pre,0,0,0
Lipstick Under My Burkha,"Lipstick Under My Burkha is About Desires, Mostly Unfulfilled - TheWire.in",20-07-2017,TheWire.in,https://news.google.com/rss/articles/CBMijgFBVV95cUxQb3RTUUdidmJ1ZGFNUWJqSDdZUGNHczItZ1JORjRPbHJwS2F0V04waGstWWtocFZnYzFtSlF1b0R2Wm9sSG5WeEpmaXMzcWlieTJqbnhiMXpOM1lRbWJoYjNyWlFRNXFzWUdWazBaNDd2bVVEMWRsbmhhc3lDV3FtU1ZGM2lHWS1HWGdTTS1R0gGTAUFVX3lxTE1ab2xoQ3VNR3hsZGFHSkRTb09Gem9DNGg0VkZFcmV3Z1ZnQkR2YUFmNG1ab0JNalpaYWVDeEpMMHZiTDE3aDlYcjg0dEVoYnpFS1FEUmZPWnhNckVfWGs5TEJoT2pPSmcwX2tTSW5fUTMwRlJPR2ZBMFdBVHY1NHBpTzRVdnZyNjNOdkVwcDRSeGtYNA?oc=5&hl=en-US&gl=US&ceid=US:en,Pre,0,0,0
