Film,Title,Published Date,Source,URL,Phase,Protest_Score,Institution_Score,Total_Score
Animal,"Anil Kapoor Celebrates 2 Years Of Animal, Says Sandeep Reddy Vanga’s Film ‘Erupted’ Upon Release - News18",01-12-2025,News18,https://news.google.com/rss/articles/CBMi5gFBVV95cUxPcmM3NDlrd2VwNnZ6ck1QdUl5WjdFRUZGWUZSaDFGUm5lTVd6NHhPUUxKc1JUbXFYcDEwaXRHVVVVVWZGYkVLX19hd1pab0FtY2x5RDdqUHBrcDV0NEhwdnJncG8xbVE3d3lOUGZlUG11T01UQndBWFpULWUyQk1rbFZPZGFtYThxRkdpUWhldnB5Z3pxTWdNRkduc3JCdWtZMUR1NHdzWjNPaUx4RnYzbEc1cjAwOHpXa1NrVndKWlFUdGNMNVdUa1hFdVZpSjM2MDV2bkhDeGpYcUpHNTYxWG9ZaVlwUdIB6wFBVV95cUxPNjZseV9CS0JnQmlTcTVZdEZIOEstanJfTTJzSExKOHprSXkwWUJYaUk1dVRBRnMybzU2WWgxZVJPY3YwWFRzNUpscEFteHEwZUstV1hUNE1pZmcyTDdFRHQ0X1hHcWx1V3VQUi0zSmNsNUhEbC0zbHkxWGNiY0hEUVFIUHRvdDlRaU9HcWpsU3pPMGVXQm5ieERYMXYwU000bmFzS19ZR21nVlpUNE9Fb09sR2ZBRTl6LUFOakRhVVdNakxabEdpZ2xIQlUtYzFfakRTbmk5QTVpUHNOSExmNF9zaVZFdXRtRHRv?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Animal,"Ranbir Kapoor Drops Major Hints About 'Animal', Shares Timeline For Sandeep Reddy Vanga's Sequel - BollywoodShaadis",27-01-2026,BollywoodShaadis,https://news.google.com/rss/articles/CBMilgFBVV95cUxQMmRqejc4OFBFOWQ2d0FiN1dVSzVQQjQtX0ROeU1GUzh3dW5XNW52bGpqMHdfME1VSG5VamktUXhQZndJVjBTR3JhZDZrZnZrNUxiX1ZabU1vTEdnOFZxRmhnZi1TOGFXRzF5MERzQ2VFVWc4bDNPWEhfOF9DOGtpaGY0bVoyVTNWNzN5T2xOWlFyaDZfT1E?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Animal,"‘Agar Ranbir ko 3 ghante…’: Bobby Deol on overshadowing Ranbir Kapoor in Animal, impact his character Abrar had | Hindustan Times - Hindustan Times",06-10-2025,Hindustan Times,https://news.google.com/rss/articles/CBMi_AFBVV95cUxQUE5zQUVPcm5kM1ZXd0FZM1kxdXFvRlNIU2ZBYWUyUHRrdG9KQ0VyTWZMMmI3REJJZFlqdFNnUkN2NXlwcWJUWjJzWDZNMUhpWDdXNUl0bkExb1lWNTAzTzV3eUpVZzJJNl9TOUhuTmNZRDluRHFkN1R3ZXh1NkJBTGZwZmh6R0J2S2FmRGdUSTg0alVrQ3BsZTU1Z2FnSEsyVU5vRHhrbDkwMVhkTjlYUHhmRWo1a3ZzTUJLZ3JnSGxmZkRhRFNrbWx5VmEtSm5DcXFKTTNYWU5OUU5iWFQ3ckY2STFrS09jY3JHNnNsOXhCV2xjUEhlc09pX23SAYICQVVfeXFMUG5kMnFDcHFSRl9aV0NHaFBYUkkydTNGQXpBU3NTWk40aXhrWXdEbWlFNnU3STcxaFplOE5VRE9YV3VtRWUzV2pvWlFFTzVnY2hPOXVEc2dGNkUtOTVYdDllTmFTZmlBVHNRc0s0NHhsZHRkbngyd2xBMkhncWFNNVd6RF9qUVRONm5BYjNyZnpjUGFyVFk0N2RIS2N4bU5BTFFOTWlYYmtDM01kZWw5WHBadTdjVEZ3UlVkcGdzOUFiTHNWWG9FSGhGRmNxZENLNHQ4RmYzdXY3QTE1VVhndWRpcVdXRFhUVVhaaEJUTjJCbC1hYzJNTjA4ZzVpUk03bVRB?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Animal,"Dhurandhar vs Animal: Gore, machismo and two polarising blockbusters - India Today",16-12-2025,India Today,https://news.google.com/rss/articles/CBMiywFBVV95cUxOdjBQMGE1eEhNc0U0TXpLZTFZNktXbzM2UzdmNkctbXlwZUhsM29jRUtKS0VCWG96cHM1NTJ6QkRPb0ZYeng2a2NpaEZZOFNJWUE0REVOYWlLRUVMeHNMN3NITXQxNmloZ3pEelJiTjI1R3BhNVNQSGZBeGVzbEZoTkZzNldFME5ubG03em50aFQzLS1jem82UzdteFJZQWFLakdJdUl6RlNmWXYxVTV2ckhueUlpdGpqbW9fbjUwMXdxRjU3UUIyNlNwc9IB0AFBVV95cUxOaE5lTVMtSXc0TktRZDVRQVhiRTdNX3N6YWhlbDg5czd3Z0F6RjNyQkUxZ1lfSXExWnJWcXQyRjB2Y0x0Ynpsc25IZmI0N0ttYzF2MVdJTGlSckpjYWdfdUdQaUxnMmtXQ25XWFVBT1RhN212VlF6Qm5iLVVEZElDNl9WMk16S1lUTXNVZlk3UHFpZlhEWnNkR2hoZVRDVmI5eE5MempjWElBVmI4VGIzMlB2M1FwLXhCd24xQkg1bDJ6cVRkMTY5dDlwWjc1eXV2?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Animal,Why Comparing Dhurandhar To Animal Is An Insult To Ranveer Singh’s Film - MensXP,05-12-2025,MensXP,https://news.google.com/rss/articles/CBMiswFBVV95cUxNOGVqU1ZuMzN1Vm5yYjJ3N3l6X3RIYjJYNmdUNkVtVTN2Rl90TEQySDZ3NElpbS1mRGVlVDVkNW5QMWpUZGdwVEFBMGt5Z284Ui1sRUticEREVDRQbGJyc0NRX2ZEdkR5ZkxxcEJLS3lfWmdsZWJSTFAwTFE1R3dhMmJsX2dkMnJYTUxla3RHRTNIckFzMW1KOEhOaWJCemh0WUZfM1VUa0NiSlJOTFBOdVF6WdIBuAFBVV95cUxOellFQkR1Zjh0QkM1Q3FVNFhoUU9fQW9JQmlROFNSWlRoeTVsWDBQOXJqdk8yc2cycTFtdF9JWFBMQVN1dnlBSXJtWE9CMDRRZ09Fb2EyWXRpcWN0dUVVVjJPM29BSG5sUGZnVDlBdXNWTTNpVWtYQzFGWkZKdXNuREQxRWZkOUswamYybTJXb2Z2VzZWdkg0Y3BOVnVLeWE3MFpDaU1TdjZ4TWFpN2h4Zm44NkNRMWVw?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Animal,Ranbir Kapoor gives major update on Animal Park: 'I can't wait to be on set' - OTTPlay,29-09-2025,OTTPlay,https://news.google.com/rss/articles/CBMi6gFBVV95cUxQSjJLNV9pLXJNVHNSRlE0UlFwMm1FZllPSWlKQUZzQ2JiMXNualBXUlBmYnlabnR2WWlTdkZjSEo5Vm14OTJRNngwRGhJQjdyVUN3dXZoVW5XUWt0Zl9ZVWlZRW5sampia1FwdGZuVllEa0NtNER1NEg5ZjB5UnMwVmRUU0ktY1Q1OG4tY1pLQnJVRHpOT3pkWm5aN0F3SEZoNGZ1LXZscno3YUl4NDJzdXpPR3ktZjhCa0ZuRi1UZ0ZkUGtVZlA1RXZSSW1GcFk2Yi1sajNXNUxmQ041anVIZTc1M2xTNjFVU0HSAe8BQVVfeXFMT2paOEJRR0w3dGZHaEpUTWFabTdmNUF5MXptSE1rQnBuQ1R1NzBXeUdPcnhxOHRLblJHN2s1b2NMZ0dGR0V2RFVsWHhodVFjRDVvWlpZZml5UDF4OUktdFU3UVpyMlY2dS1UeElGY1R0OVN5ZkNfNU9MQzUxS1VuV3NCRjhYSHQ1QTJOTWJzMENJVHNVczZqNFFCVnRheEF0Mm5yQ3ZRZktwcVNsQjV2LXJVTV9VNVQ1d1V4NVhabmpOenBvSVlCYmxCakliRWxUUWJKWVd0YjJRV3d0VG92LTd5UXhIV190Q2Z6Q0hyODQ?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Animal,"Anil Kapoor marks two years of ‘Animal’, hails Sandeep Reddy Vanga's film as one that 'erupted' on releas - Times of India",01-12-2025,Times of India,https://news.google.com/rss/articles/CBMiowJBVV95cUxOaDR3VE5od1l0bmRNWm4tVGM4RW1ETURKbWhKOGJBR2Q3alNST1hwNFBSZjlxNXl0U0RRUktLck1CSUVucFVmdlZEYzdiMFpCaF9NZ211eGllZm9ncXBwWlY5TDdHRUNXMXEtZGhZWkt3M1BLeTJIRXhfZXJZdjBQdHg3WkRmQ1ZKQjUxQW55Vkk0U0swYkNaSk1pY0FsNERXb2hkTjRCV2ExRzhjakxSdWtZUl9DUElFOXdSdEctTFNZQXVSYnlSbzZXY20tbHk2YUdNMFpIbzR6aF80aUNBNkt4UkU3Y1pEVlk2b20xcENiR3VhVVd0NHVLUUNIT0p4aXlFMlFpRW1lWjUySjdONGw5ZlpqMUJKQW1xV3NkUjFEWlnSAagCQVVfeXFMUGdobmM0b3pJdzBfVGpCOXNDZFlxZUUwZWZZVVd5MDltOGNVZkdHR1B6MENGS0xmb3N0UkpBbWpiV1dWVnI1Y0g0aTdpekpVR3JodzlXcE4tOFA3RlNLSmVHYV83bmp4U1BXaXdCT1lpRUNXWFNZTmp0dXJ0cGxRQms3OEJhMW0wOWxZSmdMM05hYmtkYk9LVl81d3RhU05PQUUwYWNtei16RE1jY3Z3VkRfZVhuU19EOUVjY01jMjFJWkVzNWFiaURIREFVZm1YS3J1X1B0YVZ1N0Y5VHNQTTVYU1F3TU80eTNOMUVxbDBRak1HMXFkeVFSVFl1QkdjSXN1OThvVkdUYnBNTllCZHczV1hHMTgweUhneTdIc1hCdG9JNnFvUHM?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Animal,Ranbir Kapoor’s 'Animal' set for Japan release in February 2026; makers drop powerful announcement - Times of India,25-12-2025,Times of India,https://news.google.com/rss/articles/CBMimwJBVV95cUxPU21uNVJyQVR1UmJTVEoxSEttV19jaTk4SjR6MzB6QklMcWYyRkFoM1oxU3ExcHNqZkwtSVAwS0tZUnpQaFByZFJOVzVyWjBEUk42cmNJWjJlX01xYTFjUDA5bFQ4RloxaERfQmpPT0NJSHVIRVlUTW5yLWJIajVJcTBaZS1VdG83NUNWTkF2aU55eXREaDA1VlgxWXUwSTgzem9XZ1Qxd1JjZnpoTjBUMVEwYmFwNnJxMHlxQU5IdkNzNVVjc002TExOME00amlzNTBSUjVOVVhEa0NJLTV6WDZZSDB0VFF1eTVSWVRRdVdBYVphT3dtUHZySVBERG1qQ0ZIcXo5V3E5a2lNZzRHbWh5SkpzVmpDLXpr0gGgAkFVX3lxTE9iMVctX2RtaFppa08yRnJTWVRvU1NDWEVvcldkQlo2UkFBNEd4NkktUXY3Y2tLTk4wamF4RmgxMVZqUlZHUWlzd0FyYl9rcUNPQ0VxZXNTM3hsVXZ1czlkUDgwZXBaRXp3NUxnVGU2MzhhemxMV2oydUZlUWFsSzhKeEVYYU1jNjRwM1RUMW5PSDd3R3ZLWmZEUXV5Y1NBa2xNU1VVWnZSdTFMYmZTOGtsYldOZXdoLUlxOGU0UVRkemt4b1MzQk9RZVhzeEVkb3R5eEV3MHdmdzBJM0JyWVNnQlZ6RHE1SHNCeWdob04wZGlNQmZsOUh5eUo1VVZ6X0hIYW9rSkdpbG5fQk8zSG5IWGExWTdMaXE1TTF5LWVLRw?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Animal,Fans call Aryan Khan a 'genius' after spotting Animal reference in Ba***ds of Bollywood with a Ranbir Kap - Times of India,01-10-2025,Times of India,https://news.google.com/rss/articles/CBMiwAJBVV95cUxONV9mY0pYQmRVSkVEem8tUGwxVmV2NXBwUE5ZMTVNY0s0bHpmODVMWjM0Z3NPTmVBalE3eDRsa2c5TmtzVWlTeGRyellEYml5UTFXdXpEY3B2V29fWnFtRUQ1U043MW5xeUtoNnV3TnJURmNfYmtmc3ZtM0JkbGliVmNVWUNmOW9qMUI4dlFvMFoxRElfTUdjTnJVdjE0Z2hlR3ZsVEJUaXZoTWFOdVp4UFFpd1ROeHRzTHVHeUZDTmNSMkpkQmI1ZmpIbkJnU1NIVnNkM1MzZE85bHYwM05vNWZkM19UaUxDVDNHVm03TWZVRmNBUzlST3dTTUVhSzdjYUJ3cmhrNWJVeWdkNjkzTzROY3dUM0dpa3JqMU1ZdHpEVFRDeFFTbGxkMHdyX05zSGI5RXp3Vk1mTHVVUVFESNIBxgJBVV95cUxNV1VOcDNzaFJhWXRMSTlfSEFxWkhyUjZyV1ZPX1otblFQSzdoSUlab0Z4UzRtV1BzZHktVXlVb1F6VzNsY2Y5bUdkbGN4TFZjWTFPSVhsOVZKOWdZYWZVNmJrRW1kYy00a3pxSC1WZVZTUFVmWm5Beno5R1FfZzhORFl6RUFJeWE5WjRYRklnQ1FtOEdVanR6aWNwZ1hXMmlmOEgyQi1IVmxPaERPWGNoN01aMTFvZEJDc2o0TXZGZXNycFBOZC0wd0YzOTVxZERuUGszMUZ0OEE3T1ZzRnpybjltR01BMXlKX3ZfMFJ0bm5ZUF9LaHBYUWVlWmc3ODNpallMc1lwZ3BjcEkxRGVxSHRQMElBWm5pX0ZhSHJfaVBXcGVyZmt3SGkyWjR4cXlLb01qMEhJSmFseEhQRXQyYjV3blpoQQ?oc=5&hl=en-US&gl=US&ceid=US:en,Post,0,0,0
Animal,"Zeeshan Ayyub responds to controversy over Ranbir Kapoor’s 'Animal', discusses filmmaking, violence and f - Times of India",01-08-2025,Times of India,https://news.google.com/rss/articles/CBMivgJBVV95cUxPa0VCU0JqSlZsa0lGYVV1OFZpTTNMNUhiVEUzMHR0R3pMNW1xMG1lN21Rd2s5b1c5R2JkZXZwajEwME9FMnV3ME92ck1yNTYxTWd2Y3VYZEp6TUNrdmtJeHpIU3UzTGozWGQyVi1FdTBwaTdxOXVrWDg4elc2MkMxZlpPWDlLR0ZicUphbmdxZVhSeENvcXotSDluMGlPekFuQlhrMGRaOTJtSW00c3JpbW9QeFh0TmtnNlRfRGpmbTlvWHJUX2RsS21SN2NPTTN5N0Q3Sm90UFpCMDFpYnZhMDh4LWFza21UbDcwbWtIcU5wbjNiUnhUS3J2NW5fWWxTQWdmTHhpcF9CMTRnZklFNVlFOUxEVmhsWUp1WlBVM3ZjT1R4cFhneHdXci1PWUpyWHNFNDdBRlhna3NRckHSAcMCQVVfeXFMTWlwMFRHaUpnUGRIZ25BNEpYTExGU2cxSFh2dHZhZHBLeXg3TUhicGNsZFRibXFzeTZEQ29DNVhOU1RwNXl5OHZ1V1dxQjhQRDY2ZmV0Ylc3YzBObTdET0JQSkhXRlBKNzdXaS0yYkNFTDJVYlpzLUxGUnpnNDU4VEo3bWlRZjhkUlVZZnAyNVFnVGh5U3BHeEd2dUo0Z2tUSlBJb2RwTFlVVFdnTjdTeURBcW9wdmk4Q01jQ0RNLWEtWE1BZ3h3NHViV09nUEJra0dMZ1VDV0NyZndnRWUycmhMVlVpQXAyb3FFZFJMSEhXMGNzMk1EWkVYaGhkbmc1RmdxUmxnaFg1NThRUEZ3MkdqcEhIYUhGNGxYQzMzZVM4Nzk4dkxGeTd4anp5MHV3YkJiaEk4UjNZZnprMmQ4QUhfR00?oc=5&hl=en-US&gl=US&ceid=US:en,Post,1,0,1
